Id,Label,type,gender
Reisende,Reisende,Figur,
Herren,Herren,Figur,
Chef,Chef,Figur,
Geschäftsdiener,Geschäftsdiener,Figur,
Menschen,Menschen,Rolle,Genderneutral
Mutter,Mutter,Rolle,Frau
Grete,Grete,Figur,
Dienstmädchen,Dienstmädchen,Figur,
Angesellte,Angestellte,Figur,
Familie,Familie,Figur,
Besucher,Besucher,Rolle,Genderneutral
Bedienerin,Bedienerin,Rolle,Frau
Leute,Leute,Rolle,Genderneutral
Kommis,Kommis,Rolle,Genderneutral
Freunde,Freunde,Figur,
Zimmerherren,Zimmerherren,Rolle,Mann
Zimmerherr,Zimmerherr,Rolle,Mann
Prokurist,Prokurist,Figur,
Mann,Mann,Rolle,Mann
Ungeziefer,Ungeziefer,Rolle,Genderneutral
Reisender,Reisender,Rolle,Mann
Haremsfrauen,Haremsfrauen,Rolle,Frau
Angestellter,Angestellter,Rolle,Mann
Kreatur,Kreatur,Rolle,Genderneutral
Ehepaar Samsa,Ehepaar Samsa,Figur,
Sohn,Sohn,Rolle,Mann
Schwester,Schwester,Rolle,Frau
Lumpen,Lumpen,Rolle,Genderneutral
Herr,Herr,Rolle,Mann
Frau Samsa,Frau Samsa,Figur,
Junge,Junge,Rolle,Mann
Frau,Frau,Rolle,Frau
Mensch,Mensch,Rolle,Genderneutral
Narren,Narren,Rolle,Genderneutral
Mädchen,Mädchen,Rolle,Frau
Leutnant,Leutnant,Rolle,Mann
Unternehmer,Unternehmer,Rolle,Mann
Opfer,Opfer,Rolle,Genderneutral
Damenfreund,Damenfreund,Rolle,Mann
Wilder,Wilder,Rolle,Mann
Schwerkranker,Schwerkranker,Rolle,Mann
Fremder,Fremder,Rolle,Mann
Heilige,Heilige,Rolle,Frau
Gesuchter,Gesuchter,Rolle,Mann
Kind,Kind,Rolle,Genderneutral
Schweser,Schweser,Rolle,Frau
Handelsakademiker,Handelsakademiker,Rolle,Mann
Bürgerschüler,Bürgerschüler,Rolle,Mann
Volksschüler,Volksschüler,Rolle,Mann
Diener,Diener,Rolle,Mann
Familienmitglied,Familienmitglied,Rolle,Genderneutral
Feind,Feind,Rolle,Mann
Invalide,Invalide,Rolle,Mann
Verkäuferin,Verkäuferin,Rolle,Frau
8,Eltern,Rolle,Genderneutral
Witwe,Witwe,Rolle,Frau
Mistkäfer,Mistkäfer,Rolle,Genderneutral
Fräulein,Fräulein,Rolle,Frau
Violonenspieler,Violonenspieler,Rolle,Mann
Tier,Tier,Rolle,Genderneutral
Schreckgestalt,Schreckgestalt,Rolle,Genderneutral
Zimmernachbar,Zimmernachbar,Rolle,Mann
Mieter,Mieter,Rolle,Mann
Untier,Untier,Rolle,Genderneutral
Bruder,Bruder,Rolle,Mann
Beleidigter,Beleidigter,Rolle,Mann
Gregor Samsa,Gregor Samsa,Figur,
Tochter,Tochter,Rolle,Frau
Führer,Führer,Rolle,Mann
Schreibender,Schreibender,Rolle,Mann
Schreibende,Schreibende,Rolle,Frau
